platform/build,android_build
platform/bionic,android_bionic
platform/bootable/recovery,android_bootable_recovery
platform/dalvik,android_dalvik
platform/development,android_development
device/common,android_device_common
device/generic/goldfish,android_device_generic_goldfish
platform/external/aac,android_external_aac
platform/external/android-mock,android_external_android-mock
platform/external/bluetooth/bluedroid,android_external_bluetooth_bluedroid
platform/external/chromium,android_external_chromium
platform/external/elfutils,android_external_elfutils
platform/external/fsck_msdos,android_external_fsck_msdos
platform/external/javasqlite,android_external_javasqlite
platform/external/openssh,android_external_openssh
platform/external/srec,android_external_srec
platform/external/stlport,android_external_stlport
platform/external/tinyalsa,android_external_tinyalsa
platform/external/v8,android_external_v8
platform/external/wpa_supplicant_8,android_external_wpa_supplicant_8
platform/external/yaffs2,android_external_yaffs2
platform/external/zlib,android_external_zlib
platform/frameworks/av,android_frameworks_av
platform/frameworks/base,android_frameworks_base
platform/frameworks/native,android_frameworks_native
platform/frameworks/opt/telephony,android_frameworks_opt_telephony
platform/frameworks/opt/vcard,android_frameworks_opt_vcard
platform/hardware/broadcom/libbt,android_hardware_broadcom_libbt
platform/hardware/broadcom/wlan,android_hardware_broadcom_wlan
platform/hardware/libhardware,android_hardware_libhardware
platform/hardware/libhardware_legacy,android_hardware_libhardware_legacy
platform/hardware/qcom/audio,android_hardware_qcom_audio
platform/hardware/qcom/bt,android_hardware_qcom_bt
platform/hardware/qcom/camera,android_hardware_qcom_camera
platform/hardware/qcom/display,android_hardware_qcom_display
platform/hardware/qcom/keymaster,android_hardware_qcom_keymaster
platform/hardware/qcom/media,android_hardware_qcom_media
platform/hardware/qcom/msm8960,android_hardware_qcom_msm8960
platform/hardware/qcom/power,android_hardware_qcom_power
platform/hardware/qcom/sensors,android_hardware_qcom_sensors
platform/hardware/qcom/wlan,android_hardware_qcom_wlan
platform/hardware/ril,android_hardware_ril
platform/hardware/ti/wlan,android_hardware_ti_wlan
platform/libcore,android_libcore
platform/packages/apps/Bluetooth,android_packages_apps_Bluetooth
platform/packages/apps/Browser,android_packages_apps_Browser
platform/packages/apps/Contacts,android_packages_apps_Contacts
platform/packages/apps/DeskClock,android_packages_apps_DeskClock
platform/packages/apps/Email,android_packages_apps_Email
platform/packages/apps/Gallery2,android_packages_apps_Gallery2
platform/packages/apps/Launcher2,android_packages_apps_Launcher2
platform/packages/apps/Mms,android_packages_apps_Mms
platform/packages/apps/Phone,android_packages_apps_Phone
platform/packages/apps/Provision,android_packages_apps_Provision
platform/packages/apps/Settings,android_packages_apps_Settings
platform/packages/apps/Stk,android_packages_apps_Stk
platform/packages/apps/VoiceDialer,android_packages_apps_VoiceDialer
platform/packages/inputmethods/LatinIME,android_packages_inputmethods_LatinIME
platform/packages/providers/ContactsProvider,android_packages_providers_ContactsProvider
platform/packages/providers/MediaProvider,android_packages_providers_MediaProvider
platform/packages/providers/TelephonyProvider,android_packages_providers_TelephonyProvider
platform/prebuilts/misc,android_prebuilts_misc
platform/sdk,android_sdk
platform/system/core,android_system_core
platform/system/extras,android_system_extras
platform/system/security,android_system_security
platform/system/vold,android_system_vold
