build,android_build
bionic,android_bionic
bootable/recovery,android_bootable_recovery
dalvik,android_dalvik
development,android_development
device/common,android_device_common
device/generic/goldfish,android_device_generic_goldfish
external/aac,android_external_aac
external/android-mock,android_external_android-mock
external/bluetooth/bluedroid,android_external_bluetooth_bluedroid
external/chromium,android_external_chromium
external/elfutils,android_external_elfutils
external/fsck_msdos,android_external_fsck_msdos
external/javasqlite,android_external_javasqlite
external/openssh,android_external_openssh
external/srec,android_external_srec
external/stlport,android_external_stlport
external/tinyalsa,android_external_tinyalsa
external/v8,android_external_v8
external/wpa_supplicant_8,android_external_wpa_supplicant_8
external/yaffs2,android_external_yaffs2
external/zlib,android_external_zlib
frameworks/av,android_frameworks_av
frameworks/base,android_frameworks_base
frameworks/native,android_frameworks_native
frameworks/opt/telephony,android_frameworks_opt_telephony
frameworks/opt/vcard,android_frameworks_opt_vcard
hardware/broadcom/libbt,android_hardware_broadcom_libbt
hardware/broadcom/wlan,android_hardware_broadcom_wlan
hardware/libhardware,android_hardware_libhardware
hardware/libhardware_legacy,android_hardware_libhardware_legacy
hardware/qcom/audio,android_hardware_qcom_audio
hardware/qcom/bt,android_hardware_qcom_bt
hardware/qcom/camera,android_hardware_qcom_camera
hardware/qcom/display,android_hardware_qcom_display
hardware/qcom/keymaster,android_hardware_qcom_keymaster
hardware/qcom/media,android_hardware_qcom_media
hardware/qcom/msm8960,android_hardware_qcom_msm8960
hardware/qcom/power,android_hardware_qcom_power
hardware/qcom/sensors,android_hardware_qcom_sensors
hardware/qcom/wlan,android_hardware_qcom_wlan
hardware/ril,android_hardware_ril
hardware/ti/wlan,android_hardware_ti_wlan
libcore,android_libcore
packages/apps/Bluetooth,android_packages_apps_Bluetooth
packages/apps/Browser,android_packages_apps_Browser
packages/apps/Contacts,android_packages_apps_Contacts
packages/apps/DeskClock,android_packages_apps_DeskClock
packages/apps/Email,android_packages_apps_Email
packages/apps/Gallery2,android_packages_apps_Gallery2
packages/apps/Launcher2,android_packages_apps_Launcher2
packages/apps/Mms,android_packages_apps_Mms
packages/apps/Phone,android_packages_apps_Phone
packages/apps/Provision,android_packages_apps_Provision
packages/apps/Settings,android_packages_apps_Settings
packages/apps/Stk,android_packages_apps_Stk
packages/apps/VoiceDialer,android_packages_apps_VoiceDialer
packages/inputmethods/LatinIME,android_packages_inputmethods_LatinIME
packages/providers/ContactsProvider,android_packages_providers_ContactsProvider
packages/providers/MediaProvider,android_packages_providers_MediaProvider
packages/providers/TelephonyProvider,android_packages_providers_TelephonyProvider
prebuilts/misc,android_prebuilts_misc
sdk,android_sdk
system/core,android_system_core
system/extras,android_system_extras
system/security,android_system_security
system/vold,android_system_vold
